BesTV-4K,rtp://239.21.2.71:5002
CCTV1-HD,rtp://239.21.1.120:5002
CCTV2-HD,rtp://239.21.1.151:5002
CCTV3-HD,rtp://239.21.2.45:5002
CCTV4-HD,rtp://239.21.1.154:5002
CCTV4中文国际美洲-HD,rtp://239.21.2.29:5002
CCTV4中文国际欧洲-HD,rtp://239.21.2.28:5002
CCTV5+-HD,rtp://239.21.1.142:5002
CCTV5-HD,rtp://239.21.2.46:5002
CCTV6-HD,rtp://239.21.2.47:5002
CCTV7-HD,rtp://239.21.1.152:5002
CCTV8-HD,rtp://239.21.2.48:5002
CCTV9-HD,rtp://239.21.1.153:5002
CCTV10-HD,rtp://239.21.1.155:5002
CCTV11-HD,rtp://239.21.2.2:5002
CCTV12-HD,rtp://239.21.1.156:5002
CCTV13-HD,rtp://239.21.2.3:5002
CCTV14-HD,rtp://239.21.1.157:5002
CCTV15-HD,rtp://239.21.2.4:5002
CCTV17-HD,rtp://239.21.1.186:5002
CETV-1HD,rtp://239.21.2.7:5002
CETV-4 HD,rtp://239.21.2.129:5002
CGTN $$-HD,rtp://239.21.2.35:5002
CGTN ESPANOL-HD,rtp://239.21.2.32:5002
CGTN FRANCAIS-HD,rtp://239.21.2.33:5002
CGTN$ -HD,rtp://239.21.2.34:5002
CGTN-HD,rtp://239.21.2.30:5002
CGTN-HD,rtp://239.21.2.31:5002
CPTV综合-HD,rtp://239.21.1.219:5002
DiviCom Customer:-,rtp://239.21.1.238:5002
doteck:-,rtp://239.21.2.52:5002
doteck:-,rtp://239.21.2.64:5002
DTV综合频道-HD,rtp://239.21.1.210:5002
FFmpeg:-,rtp://239.21.1.220:5002
FFmpeg:-,rtp://239.21.2.13:5002
JYTV新闻-HD,rtp://239.21.1.215:5002
LSTV综合-HD,rtp://239.21.2.12:5002
LYTV-HD,rtp://239.21.2.130:5002
PDTV新闻综合-HD,rtp://239.21.1.228:5002
SDTV:语音,rtp://239.21.2.36:5002
SDTV:语音,rtp://239.21.2.36:5002
SDTV-HD,rtp://239.21.1.87:5002
1suma:-,rtp://239.21.1.143:5002
2suma:-,rtp://239.21.1.193:5002
3suma:-,rtp://239.21.1.232:5002
4suma:-,rtp://239.21.1.239:5002
5suma:-,rtp://239.21.1.240:5002
6suma:-,rtp://239.21.1.245:5002
7suma:-,rtp://239.21.2.27:5002
8suma:-,rtp://239.21.2.50:5002
9suma:-,rtp://239.21.2.56:5002
10suma:-,rtp://239.21.2.57:5002
11suma:-,rtp://239.21.2.58:5002
12suma:-,rtp://239.21.2.59:5002
13suma:-,rtp://239.21.2.60:5002
14suma:-,rtp://239.21.2.62:5002
TV-Channel:-,rtp://239.21.2.61:5002
TV-Provider:-,rtp://239.21.1.243:5002
安徽卫视-HD,rtp://239.21.1.159:5002
北京纪实-HD,rtp://239.21.1.172:5002
北京少儿KAKU-HD,rtp://239.21.2.120:5002
北京卫视-HD,rtp://239.21.1.88:5002
茶频道-HD,rtp://239.21.2.110:5002
单县综合-HD,rtp://239.21.2.21:5002
德州经济生活-HD,rtp://239.21.1.76:5002
德州新闻综合-HD,rtp://239.21.1.75:5002
定陶TV1-HD,rtp://239.21.1.244:5002
东方财经-HD,rtp://239.21.2.108:5002
东平综合-HD,rtp://239.21.1.216:5002
动漫秀场-HD,rtp://239.21.2.92:5002
都市剧场-HD,rtp://239.21.2.90:5002
法制天地-HD,rtp://239.21.2.105:5002
福建卫视-HD,rtp://239.21.1.113:5002
甘肃卫视-HD,rtp://239.21.2.22:5002
甘肃卫视-HD,rtp://239.21.2.55:5002
广东卫视-HD,rtp://239.21.1.92:5002
广西卫视-HD,rtp://239.21.2.87:5002
贵州卫视-HD,rtp://239.21.1.166:5002
海南卫视-HD,rtp://239.21.2.14:5002
海洋频道-HD,rtp://239.21.2.119:5002
河东综合-HD,rtp://239.21.2.136:5002
河南卫视-HD,rtp://239.21.2.37:5002
黑龙江-HD,rtp://239.21.1.91:5002
湖北卫视-HD,rtp://239.21.1.163:5002
湖北卫视-HD,rtp://239.21.1.168:5002
湖南金鹰-HD,rtp://239.21.1.170:5002
湖南卫视-HD,rtp://239.21.1.158:5002
画中画-HD,rtp://239.21.1.203:5002
吉林卫视-HD,rtp://239.21.2.49:5002
济南教育HD,rtp://239.21.1.133:5002
济南新闻高清-HD,rtp://239.21.1.94:5002
济宁高新-HD,rtp://239.21.2.83:5002
济宁综合-HD,rtp://239.21.2.19:5002
济阳综合-HD,rtp://239.21.1.187:5002
嘉祥综合-HD,rtp://239.21.2.84:5002
江苏卫视-HD,rtp://239.21.1.89:5002
江西卫视-HD,rtp://239.21.1.167:5002
金色学堂-HD,rtp://239.21.2.102:5002
金乡综合-HD,rtp://239.21.1.184:5002
金鹰卡通-HD,rtp://239.21.2.121:5002
经常影视-HD,rtp://239.21.2.91:5002
居家购物,rtp://239.21.1.112:5002
莒县综合-HD,rtp://239.21.1.236:5002
快乐垂钓-HD,rtp://239.21.2.97:5002
莱西综合-TV,rtp://239.21.1.247:5002
兰陵公共-HD,rtp://239.21.2.63:5002
兰陵综合-HD,rtp://239.21.1.237:5002
岚山-HD,rtp://239.21.1.209:5002
崂山TV-HD,rtp://239.21.1.223:5002
崂山TV-HD,rtp://239.21.2.122:5002
乐游-HD,rtp://239.21.2.104:5002
梨园频道-HD,rtp://239.21.2.101:5002
辽宁卫视-HD,rtp://239.21.1.164:5002
陵城综合-HD,rtp://239.21.2.24:5002
魅力足球-HD,rtp://239.21.2.95:5002
齐河综合-HD,rtp://239.21.1.230:5002
青海卫视-HD,rtp://239.21.2.51:5002
青海卫视-HD,rtp://239.21.2.85:5002
曲阜综合-HD,rtp://239.21.1.225:5002
荣成综合-HD,rtp://239.21.1.227:5002
山东教育-HD,rtp://239.21.1.169:5002
山东临沂综合-HD,rtp://239.21.2.68:5002
山东临沂综艺-HD,rtp://239.21.2.65:5002
山东农科高清-HD,rtp://239.21.1.183:5002
山东齐鲁-HD,rtp://239.21.1.134:5002
山东少儿高清-HD,rtp://239.21.1.208:5002
山东生活高清-HD,rtp://239.21.1.175:5002
山东体育高清,rtp://239.21.1.141:5002
山东卫视-HD,rtp://239.21.2.77:5002
山东文旅高清-HD,rtp://239.21.1.176:5002
山东新闻高清,rtp://239.21.1.140:5002
山东综艺高清-HD,rtp://239.21.1.177:5002
商河综合-HD,rtp://239.21.2.53:5002
上海-HD,rtp://239.21.1.111:5002
上海纪实-HD,rtp://239.21.1.171:5002
莘县综合-HD,rtp://239.21.1.211:5002
深圳卫视-HD,rtp://239.21.1.93:5002
生活时尚-HD,rtp://239.21.2.103:5002
四川卫视-HD,rtp://239.21.2.15:5002
天津卫视-HD,rtp://239.21.1.165:5002
潍坊TV4科教文旅-HD,rtp://239.21.2.89:5002
潍坊TV影视综艺-HD,rtp://239.21.2.88:5002
潍坊高新区-HD,rtp://239.21.2.131:5002
潍坊经济生活2-HD,rtp://239.21.1.78:5002
潍坊寿光蔬菜-HD,rtp://239.21.1.218:5002
潍坊新闻综合1-HD,rtp://239.21.1.77:5002
文登TV-HD,rtp://239.21.1.174:5002
文化旅游-HD,rtp://239.21.1.231:5002
文物宝库-HD,rtp://239.21.2.109:5002
无棣综合-HD,rtp://239.21.1.214:5002
武术世界-HD,rtp://239.21.2.96:5002
夏津公共-HD,rtp://239.21.1.102:5002
夏津综合-HD,rtp://239.21.1.106:5002
新泰乡村-HD,rtp://239.21.1.248:5002
烟台经济-HD,rtp://239.21.1.205:5002
烟台新闻综合-HD,rtp://239.21.1.116:5002
烟台影视-HD,rtp://239.21.1.204:5002
兖州新闻-HD,rtp://239.21.1.224:5002
沂水生活-HD,rtp://239.21.2.80:5002
沂水综合-HD,rtp://239.21.2.79:5002
游戏风云-HD,rtp://239.21.2.107:5002
鱼台生活-HD,rtp://239.21.2.135:5002
鱼台新闻-HD,rtp://239.21.2.134:5002
禹城综合-HD,rtp://239.21.1.241:5002
禹城综艺-HD,rtp://239.21.1.242:5002
云南卫视-HD,rtp://239.21.2.86:5002
郓城新闻-HD,rtp://239.21.1.251:5002
浙江卫视-HD,rtp://239.21.1.90:5002
中国交通-HD,rtp://239.21.1.115:5002
重庆卫视-HD,rtp://239.21.1.233:5002
绉城综合-HD,rtp://239.21.1.185:5002
淄博影视-HD,rtp://239.21.1.182:5002
淄川新闻-HD,rtp://239.21.1.160:5002
综合频道-HD,rtp://239.21.2.123:5002
新闻综合-HD,rtp://239.21.1.84:5002









